profile,model,chunk_size,n_chunks,ttft_mean,ttft_p50,ttft_p95,ttft_p99,decode_mean,decode_p50,decode_p95,decode_tput_mean,prefill_tput_mean,prompt_tokens_mean,completion_tokens_mean,itl_p50_mean_ms,itl_p99_mean_ms
mistral_500,mistral,500,467,0.1962490742507628,0.20612083934247494,0.21982728419825434,0.31233922354876964,8.820765315921982,8.582040819339454,11.442127116676419,46.40768687128578,6839.375561122023,1218.6081370449679,409.11134903640254,20.33635015984323,36.966246049811275
mistral_700,mistral,700,342,0.27118011822444743,0.27135814912617207,0.3244504099711776,0.7177804840821701,9.46285377205649,9.23061852529645,12.018967161746694,44.58975618829914,6133.773370681922,1420.5438596491229,421.5263157894737,20.802565915673448,36.58810887069092
mistral_900,mistral,900,276,0.3410659317278128,0.3599331798031926,0.38684383244253695,0.6594782965257764,10.309840699890628,9.922947607468814,13.876335302367806,43.052714818719735,5677.86453148124,1630.2282608695652,443.3804347826087,21.18866295432267,37.953783349856074
mistral_1200,mistral,1200,201,0.4586546540269582,0.46521744411438704,0.5077911363914609,1.6388534028083086,11.346839681017533,10.978112118318677,14.784000541083515,40.87523941454787,5230.3972956281805,1966.004975124378,463.2636815920398,21.905156429301,36.40142283995459
mistral_2000,mistral,2000,147,0.6346462145257665,0.7633326444774866,0.8548799460753798,2.4016542384587227,11.627621820500615,11.216932874172926,15.178924205433576,37.80657959461206,5558.781553644409,2420.482993197279,438.08843537414964,22.8756063643108,40.6874641357306
mistral_3000,mistral,3000,100,0.9163102655019612,1.152368319220841,1.3345213234424582,3.2450378562323747,13.6894470874127,13.162123951595277,18.104745754413305,33.847724823572484,5035.679114343273,3196.69,460.76,24.539507715962827,44.284988424926844
qwen_500,qwen,500,467,0.17783435440684092,0.1809755377471447,0.2019207569770515,0.34014299808070064,6.134144443318615,6.198750641196966,8.214384544547647,43.35479996920984,6640.083082203058,1093.749464668094,265.71948608137046,21.42786002783723,78.91396816032156
qwen_700,qwen,700,342,0.26140669876796724,0.27586607402190566,0.2932996890041977,0.4933132718224077,6.649626474931008,6.681564105674624,8.716995775699615,41.773188799913534,5623.892328671866,1272.2602339181287,277.27777777777777,21.534546535756242,85.60764007174997
qwen_900,qwen,900,276,0.3148713120718257,0.3177093528211117,0.3908333298750222,0.7463236567564309,7.010488108208781,6.91580607322976,9.576529865385965,40.83125039286565,5474.382454469177,1457.2753623188405,285.5036231884058,21.748208359855674,90.70534281483228
qwen_1200,qwen,1200,201,0.39307845570610384,0.3994837421923876,0.4377919165417552,1.3748304322361946,7.3785677151800835,7.270895080640912,9.602797902189195,38.98768899636111,5217.280174759927,1753.8507462686566,287.02487562189054,22.118627946286356,117.71924204962178
qwen_2000,qwen,2000,147,0.5385967917284187,0.6545547638088465,0.7449419960379597,1.9962477507442236,8.289828265142836,7.672949079424143,10.914549208059903,37.50354825785299,6214.977920889089,2154.7755102040815,308.2108843537415,22.491712373408937,65.49099892998716
qwen_3000,qwen,3000,100,0.7227238789293915,0.5329107618890703,1.4172425440046934,1.9960324211698026,8.720568323256447,8.278321695048362,11.563774518994615,34.378376700532165,7615.31978129497,2838.64,296.57,23.14993424806744,114.29609197126729
llama31_500,llama31,500,467,0.18064103911509158,0.1841913852840662,0.1958972885273396,0.36136635271832346,9.355615662223395,9.308672766201198,12.068619661219417,40.785751851679805,6457.540312900188,1082.6723768736617,381.35546038543896,23.361822575274896,43.108002349127986
llama31_700,llama31,700,342,0.24885623944019192,0.26268670661374927,0.26807563193142414,0.4589943366777151,10.20497257751549,10.083356887567788,13.09808883294463,39.515491808874316,5697.007207030198,1255.342105263158,402.94736842105266,23.73286781080982,40.159563161895626
llama31_900,llama31,900,264,0.30745897074512235,0.3166870563291013,0.32672229083254933,0.8090481348149504,10.849713197161416,10.716254164930433,13.992292424757032,38.4017566119458,5437.290214154411,1442.5492424242425,416.31060606060606,24.16325086784182,42.50951310866651
llama31_1200,llama31,1200,200,0.390563756134361,0.4065800686366856,0.42105148611590265,1.3822055788803844,11.288402239652351,11.146069987211376,14.506721148546784,37.02687230972037,5090.09744628,1703.625,417.34,24.59573782980442,43.882928422745316
llama31_2000,llama31,2000,147,0.5451543855981357,0.6740066669881344,0.7001411904580891,2.0534719493985176,12.599396590251146,12.631219638511539,16.395233609899872,34.68540904799299,5205.2307043065175,2108.5714285714284,435.76190476190476,25.676373344827063,41.8185070920482
llama31_3000,llama31,3000,100,0.7995058223325759,0.9918041145429015,1.0576522348914295,2.825891177020967,14.220225760294124,14.286235040519387,17.91075952784158,31.661332370957616,4692.665156564205,2770.4,447.75,27.156150047667325,48.931443840172285
