profile,model,chunk_size,chunks_per_run,chunks_failed,parse_ok_mean,parse_ok_std,parse_partial_mean,parse_empty_mean,missing_fields_mean,api_mean_s,api_p50_s,api_p95_s,api_p99_s,chunks_per_sec,wall_seconds_mean,composite
llama31_1200,llama31,1200,200,0,92.5,0.0,7.5,0.0,0.07,11.6947,11.545133333333332,14.860933333333334,16.941533333333332,0.3376666666666667,591.902,77.01885289431758
llama31_2000,llama31,2000,147,0,88.44,0.0,11.56,0.0,0.22,13.151866666666669,13.314766666666666,17.07596666666667,18.564733333333336,0.30033333333333334,489.4003333333333,72.20367073818375
llama31_3000,llama31,3000,100,0,85.0,0.0,15.0,0.0,0.17,14.994366666666666,15.122566666666666,18.562466666666666,20.252733333333335,0.26433333333333336,378.34066666666666,67.84545937334042
llama31_500,llama31,500,467,0,89.51,0.0,10.49,0.0,0.23,9.540933333333333,9.503833333333333,12.284066666666666,13.3637,0.4166666666666667,1119.3580000000002,80.25937227827934
llama31_700,llama31,700,342,0,87.91333333333334,0.1674315780649951,12.086666666666666,0.0,0.25,10.513366666666668,10.394166666666667,13.485466666666667,15.586699999999999,0.37799999999999995,903.0500000000001,76.83721933085502
llama31_900,llama31,900,264,0,89.39,0.0,10.61,0.0,0.18000000000000002,11.162466666666665,11.004199999999999,14.2722,15.5968,0.35600000000000004,740.7903333333334,76.32120127456187
mistral_1200,mistral,1200,201,0,65.00666666666667,0.2829016319029137,34.99333333333333,0.0,0.5633333333333334,11.856966666666667,11.5199,15.332533333333332,18.8296,0.3336666666666667,601.862,60.2679405204461
mistral_2000,mistral,2000,147,0,63.043333333333344,0.39259818304894534,36.956666666666656,0.0,0.5833333333333334,12.230933333333335,11.776266666666666,15.889833333333334,19.3945,0.3233333333333333,454.739,58.43141688794478
mistral_3000,mistral,3000,100,0,72.0,0.0,28.0,0.0,0.46,14.597466666666667,14.054866666666664,19.254466666666666,23.782166666666665,0.272,367.08233333333334,60.534041423260746
mistral_500,mistral,500,467,0,56.74666666666667,0.3695041722813608,43.25333333333333,0.0,0.7433333333333333,9.042800000000002,8.767,11.663400000000001,14.118466666666668,0.44,1060.5316666666668,62.08836112586299
mistral_700,mistral,700,342,0,55.85,0.0,44.15,0.0,0.7566666666666667,9.725166666666667,9.487733333333333,12.356666666666667,14.5437,0.4096666666666666,834.4456666666666,59.61727562400424
mistral_900,mistral,900,276,0,60.14000000000001,0.0,39.86,0.0,0.64,10.6618,10.302566666666666,14.2624,20.808466666666664,0.37266666666666665,739.9776666666667,59.83333616569304
qwen_1200,qwen,1200,201,0,57.04666666666666,0.2829016319029178,42.95333333333334,0.0,1.01,7.802966666666666,7.6998,9.948866666666667,11.847399999999999,0.5083333333333334,395.0733333333333,66.62311417950079
qwen_2000,qwen,2000,147,0,63.27,0.0,36.73,0.0,0.71,8.855833333333335,8.218266666666667,11.506633333333333,28.89633333333333,0.44766666666666666,328.10433333333333,66.49094317578333
qwen_3000,qwen,3000,100,0,67.66666666666667,0.5773502691896257,32.333333333333336,0.0,0.6233333333333334,9.447733333333334,9.0871,12.451433333333334,15.4139,0.419,238.59433333333334,67.30207116303771
qwen_500,qwen,500,467,0,62.53,0.0,37.47,0.0,1.3,6.335733333333334,6.396866666666667,8.4172,9.9966,0.6276666666666667,742.5796666666666,77.518
qwen_700,qwen,700,342,0,60.53,0.0,39.47,0.0,1.23,6.914666666666666,6.909233333333333,9.0022,10.044466666666667,0.5756666666666667,593.1596666666666,73.00413913967074
qwen_900,qwen,900,276,0,62.68,0.0,37.32,0.0,0.9766666666666666,7.322133333333333,7.2438,9.913433333333334,11.164466666666664,0.5416666666666666,508.82033333333334,72.12738396176314
