model,profile,concurrency,n_repeats,wall_seconds_mean,wall_seconds_stdev,wall_seconds_cv,extractor_active_s_mean,extractor_active_s_stdev,extractor_active_s_cv,llm_inference_s_mean,llm_inference_s_stdev,llm_inference_s_cv,chunks_per_sec_mean,chunks_per_sec_stdev,chunks_per_sec_cv,ok_per_sec_mean,ok_per_sec_stdev,ok_per_sec_cv,partial_per_sec_mean,partial_per_sec_stdev,partial_per_sec_cv,api_mean_s_mean,api_mean_s_stdev,api_mean_s_cv,api_p50_s_mean,api_p50_s_stdev,api_p50_s_cv,api_p95_s_mean,api_p95_s_stdev,api_p95_s_cv,api_p99_s_mean,api_p99_s_stdev,api_p99_s_cv,ok_pct_mean,ok_pct_stdev,ok_pct_cv,partial_pct_mean,partial_pct_stdev,partial_pct_cv,empty_pct_mean,empty_pct_stdev,empty_pct_cv,mean_missing_fields_mean,mean_missing_fields_stdev,mean_missing_fields_cv
llama31,llama31_1200,1,3,1927.4788488547008,4.37408392184819,0.0022693291417684044,1927.2836666666665,4.36224333215021,0.0022634152966672146,1925.7510000000002,4.383845800207881,0.0022764343885621147,0.10366666666666667,0.00047140452079103207,0.004547310489945647,0.09500000000000001,1.3877787807814457e-17,1.460819769243627e-16,0.009,0.0,0.0,9.628166666666667,0.021960014167168453,0.0022808095172672316,9.504966666666666,0.03157660878280314,0.0033221167301449215,11.924666666666667,0.023742554388458147,0.00199104554048679,13.928600000000001,0.009899494936612041,0.0007107315118972503,91.5,0.0,0.0,8.5,0.0,0.0,0.0,0.0,,0.09000000000000001,1.3877787807814457e-17,1.541976423090495e-16
llama31,llama31_1200,4,3,590.5107864538828,0.21359188482053323,0.00036170699963533035,590.978,0.2783031919807043,0.0004709197160989146,589.7526666666666,0.2236087853571345,0.0003791568872778326,0.3383333333333334,0.00047140452079103207,0.0013933138545547744,0.308,0.0,0.0,0.03,0.0,0.0,11.671233333333333,0.0066614979963631185,0.0005707621299402622,11.4861,0.02330078682505545,0.002028607344969611,14.731533333333333,0.04651912390500122,0.003157792393527799,16.623933333333337,0.04084085644982998,0.0024567504952596442,91.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,,0.10000000000000002,1.3877787807814457e-17,1.3877787807814454e-16
llama31,llama31_1200,8,3,369.65132967631024,0.3047352854802217,0.0008243857414149354,370.0043333333333,0.2547683043255064,0.0006885549205068042,368.8923333333334,0.3126407238704406,0.0008475121210717505,0.5406666666666666,0.00047140452079103207,0.0008718949213151026,0.49266666666666664,0.0016996731711975965,0.0034499455437028348,0.04800000000000001,0.0014142135623730961,0.029462782549439497,14.514933333333332,0.009586216957463041,0.0006604382353895098,14.341266666666668,0.02198974508467294,0.0015333195871591728,18.349700000000002,0.05530358638159608,0.0030138686943980597,21.171566666666667,0.21147983880791635,0.009988861104968598,91.16666666666667,0.23570226039551584,0.0025853995655815264,8.833333333333334,0.23570226039551584,0.02668327476175651,0.0,0.0,,0.09000000000000001,1.3877787807814457e-17,1.541976423090495e-16
llama31,llama31_1200,12,3,298.41226545969647,0.24678580021827537,0.0008269961686665531,298.663,0.21303520835767442,0.0007132962849689263,297.65333333333336,0.24483509189292785,0.0008225511508676575,0.6693333333333333,0.00047140452079103207,0.000704289622695765,0.6193333333333333,0.00047140452079103207,0.0007611483112879958,0.05000000000000001,6.938893903907228e-18,1.3877787807814454e-16,17.548000000000002,0.016586942655796993,0.0009452326564735008,17.215733333333333,0.01652822501729165,0.0009600651158605879,22.54426666666667,0.018414547389375483,0.0008168173159787328,26.03043333333333,0.7135096651217989,0.027410594974925463,92.5,0.0,0.0,7.5,0.0,0.0,0.0,0.0,,0.07,0.0,0.0
llama31,llama31_1200,16,3,260.5109582742055,0.33491824732375336,0.0012856205725182168,260.848,0.3940465285555362,0.001510636572086181,259.7716666666667,0.3551059309871144,0.001366992542118839,0.7666666666666666,0.0009428090415820641,0.0012297509238026925,0.7079999999999999,0.0029439202887759515,0.004158079503920837,0.058666666666666666,0.0016996731711975933,0.02897170178177716,20.323933333333333,0.02938223197028286,0.001445696140032746,20.00453333333333,0.032635495331854926,0.0016314049814636147,26.283766666666665,0.18139059757575202,0.006901240597520346,30.121066666666668,0.07718956463725482,0.002562643796498624,92.33333333333333,0.23570226039551584,0.002552732062045298,7.666666666666667,0.23570226039551584,0.030743773095067282,0.0,0.0,,0.07333333333333335,0.004714045207910314,0.06428243465332245
llama31,llama31_1200,24,3,226.9827872912089,0.13361777509008504,0.0005886691968349976,227.16833333333332,0.20935509441032404,0.0009215857304509463,226.07933333333332,0.2419990817246181,0.0010704166460355426,0.88,0.0008164965809277268,0.0009278370237815077,0.8026666666666668,0.0024944382578492965,0.0031076888594467975,0.07766666666666666,0.0018856180831641283,0.024278344418422255,26.382566666666666,0.023753783324393214,0.0009003590751617501,26.318366666666666,0.05920638103748241,0.002249622166426833,35.16256666666667,0.032962841031818575,0.0009374412665690476,39.149,0.1839207981713872,0.004697969250080135,91.16666666666667,0.23570226039551584,0.0025853995655815264,8.833333333333334,0.23570226039551584,0.02668327476175651,0.0,0.0,,0.09000000000000001,1.3877787807814457e-17,1.541976423090495e-16
mistral,mistral_3000,1,3,990.5284837881724,0.8650689070692902,0.0008733407683148342,990.351,0.8759821154947584,0.000884516818274287,989.2223333333333,0.855054124342781,0.0008643700162546348,0.10100000000000002,1.3877787807814457e-17,1.3740383968133123e-16,0.073,0.0,0.0,0.028,0.0,0.0,9.891733333333335,0.008564396586385943,0.0008658135331575803,9.618466666666668,0.0026195843605855682,0.000272349476415392,12.9504,0.02899551689485834,0.002238966896378362,15.184866666666666,0.01887755869338537,0.0012431823807070221,72.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,,0.44,0.0,0.0
mistral,mistral_3000,4,3,368.77283271153766,0.10163544958467083,0.0002756044929811094,368.8113333333333,0.09973743307082542,0.00027042941487018317,367.825,0.1317801198967367,0.0003582685241534336,0.271,0.0,0.0,0.19499999999999998,2.7755575615628914e-17,1.4233628520835341e-16,0.076,0.0,0.0,14.657633333333335,0.005496867794985807,0.0003750174172037191,14.083066666666667,0.026932549493544768,0.0019124065894888969,19.412533333333332,0.021936321984832755,0.0011300082069745023,23.829533333333334,0.040979046136069876,0.0017196747230776603,72.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,,0.46,0.0,0.0
mistral,mistral_3000,8,3,269.29879784584045,0.6171751297999118,0.0022917856846624784,269.3523333333333,0.6165626939375781,0.002289056442568698,268.33933333333334,0.6054058326628866,0.002256120357543135,0.371,0.0008164965809277268,0.0022007994095086976,0.27466666666666667,0.00047140452079103207,0.001716278595112981,0.09666666666666668,0.00047140452079103207,0.00487659849094171,21.204533333333334,0.0554593745206544,0.0026154489537137215,20.309133333333335,0.07091334304785112,0.003491697153391632,28.194633333333332,0.05233484074262154,0.0018561986646142426,43.106166666666674,0.18649883526594901,0.004326500120229101,74.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,,0.38999999999999996,5.551115123125783e-17,1.4233628520835341e-16
mistral,mistral_3000,12,3,237.01004433631897,0.3997255260415815,0.0016865341178299098,237.04099999999997,0.4194194400199642,0.0017693961804918315,236.06566666666666,0.40618578124903826,0.001720647424017773,0.42166666666666663,0.00047140452079103207,0.001117955385275175,0.3036666666666667,0.00047140452079103207,0.0015523749312547706,0.118,0.0,0.0,27.6404,0.04010211964472651,0.0014508516390763703,27.195533333333334,0.15835793493082576,0.005822939119812289,38.48930000000001,0.052992326488525573,0.001376806709618662,44.5524,0.3053656933361497,0.006854079540858623,72.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,,0.46,0.0,0.0
