cell,model,profile,concurrency,repeat,perf_window_start,perf_window_end,perf_n_samples,gpu_util_pct_mean,gpu_util_pct_p95,gpu_util_pct_max,gpu_temp_c_mean,gpu_temp_c_p95,gpu_temp_c_max,gpu_power_w_mean,gpu_power_w_p95,gpu_power_w_max,gpu_mem_used_mib_mean,gpu_mem_used_mib_p95,gpu_mem_used_mib_max
qwen_500_c8_rep2,qwen,qwen_500,8,2,2026-05-21T21:45:46.698069208,2026-05-21T21:52:55.488155,13,51.23076923076923,100.0,100.0,48.23076923076923,62.0,62.0,49.51,72.882,73.32,15670.23076923077,20615.0,20615.0
qwen_500_c8_rep3,qwen,qwen_500,8,3,2026-05-21T21:52:54.853242153,2026-05-21T22:00:03.414155,43,93.81395348837209,99.5,100.0,66.25581395348837,68.0,69.0,71.74348837209301,72.68599999999999,72.93,20615.0,20615.0,20615.0
qwen_500_c12_rep1,qwen,qwen_500,12,1,2026-05-21T22:00:03.033149036,2026-05-21T22:05:28.079155,33,94.72727272727273,100.0,100.0,65.27272727272727,66.0,67.0,71.83303030303031,72.756,73.63,20615.0,20615.0,20615.0
qwen_500_c12_rep2,qwen,qwen_500,12,2,2026-05-21T22:05:27.545915724,2026-05-21T22:10:52.396155,32,91.15625,97.25,100.0,64.71875,65.45,67.0,70.79374999999999,73.264,74.45,20615.0,20615.0,20615.0
qwen_500_c12_rep3,qwen,qwen_500,12,3,2026-05-21T22:10:51.418194811,2026-05-21T22:16:18.112155,33,94.63636363636364,100.0,100.0,65.0909090909091,66.0,66.0,71.90939393939395,72.988,73.76,20615.0,20615.0,20615.0
qwen_500_c16_rep1,qwen,qwen_500,16,1,2026-05-21T22:16:17.199711986,2026-05-21T22:20:50.591155,27,93.48148148148148,94.0,100.0,65.03703703703704,65.0,66.0,72.09481481481481,73.005,74.31,20615.0,20615.0,20615.0
qwen_500_c16_rep2,qwen,qwen_500,16,2,2026-05-21T22:20:49.939326875,2026-05-21T22:25:24.488155,27,93.51851851851852,95.0,95.0,64.85185185185185,65.0,65.0,71.90962962962963,72.91300000000001,74.46,20615.0,20615.0,20615.0
qwen_500_c16_rep3,qwen,qwen_500,16,3,2026-05-21T22:25:24.323886564,2026-05-21T22:29:58.298155,28,94.21428571428571,100.0,100.0,64.85714285714286,65.65,66.0,72.08071428571428,73.284,74.0,20615.0,20615.0,20615.0
qwen_500_c24_rep1,qwen,qwen_500,24,1,2026-05-21T22:29:57.702344616,2026-05-21T22:33:47.703155,23,93.3913043478261,95.0,95.0,65.0,65.0,65.0,71.96608695652175,72.812,73.96,20615.0,20615.0,20615.0
qwen_500_c24_rep2,qwen,qwen_500,24,2,2026-05-21T22:33:46.698609554,2026-05-21T22:37:37.282155,24,94.58333333333333,100.0,100.0,65.04166666666667,66.0,66.0,71.76833333333333,72.756,73.31,20615.0,20615.0,20615.0
qwen_500_c24_rep3,qwen,qwen_500,24,3,2026-05-21T22:37:36.344710615,2026-05-21T22:41:26.273155,23,95.65217391304348,100.0,100.0,65.04347826086956,66.0,66.0,72.13826086956522,73.731,74.42,20615.0,20615.0,20615.0
