cell,model,profile,concurrency,repeat,timestamp,json_mtime,wall_seconds,extractor_wall_s,extractor_active_s,llm_inference_s,warmup_s,chunks_per_sec,ok_per_sec,partial_per_sec,concurrency_actual,chunks_extracted,parse_ok,parse_partial,api_n,api_mean_s,api_p50_s,api_p95_s,api_p99_s,api_min_s,api_max_s,n_chunks,ok_pct,partial_pct,empty_pct,mean_missing_fields,slos_passed,slos_n_total,slos_n_pass,slos_n_fail
llama31_1200_c1_rep1,llama31,llama31_1200,1,1,2026-05-22T15:15:15,2026-05-22T10:15:15.475756,1933.4984230995178,1933.312,1933.289,1931.785,0.466,0.103,0.095,0.009,0.001,200,183,17,200,9.6584,9.5491,11.9579,13.9146,5.5378,14.2914,200,91.5,8.5,0.0,0.09,True,5,5,0
llama31_1200_c1_rep2,llama31,llama31_1200,1,2,2026-05-22T15:47:26,2026-05-22T10:47:26.156756,1925.7029416561127,1925.529,1925.504,1923.967,0.406,0.104,0.095,0.009,0.001,200,183,17,200,9.6192,9.477,11.9039,13.9356,5.4926,14.231,200,91.5,8.5,0.0,0.09,True,5,5,0
llama31_1200_c1_rep3,llama31,llama31_1200,1,3,2026-05-22T16:19:33,2026-05-22T11:19:33.673756,1923.2351818084717,1923.084,1923.058,1921.501,0.398,0.104,0.095,0.009,0.001,200,183,17,200,9.6069,9.4888,11.9122,13.9356,5.5527,14.2305,200,91.5,8.5,0.0,0.09,True,5,5,0
llama31_1200_c4_rep1,llama31,llama31_1200,4,1,2026-05-22T16:29:28,2026-05-22T11:29:28.489756,590.2260086536407,590.053,590.585,589.454,0.408,0.339,0.308,0.03,0.007,200,182,18,200,11.6621,11.4538,14.7001,16.5872,6.1235,18.187,200,91.0,9.0,0.0,0.1,True,5,5,0
llama31_1200_c4_rep2,llama31,llama31_1200,4,2,2026-05-22T16:39:23,2026-05-22T11:39:23.532756,590.5659489631653,590.412,591.156,589.812,0.397,0.338,0.308,0.03,0.007,200,182,18,200,11.6738,11.5079,14.7973,16.6809,6.0989,18.1504,200,91.0,9.0,0.0,0.1,True,5,5,0
llama31_1200_c4_rep3,llama31,llama31_1200,4,3,2026-05-22T16:49:18,2026-05-22T11:49:18.587756,590.7404017448425,590.585,591.193,589.992,0.401,0.338,0.308,0.03,0.007,200,182,18,200,11.6778,11.4966,14.6972,16.6037,6.103,18.2272,200,91.0,9.0,0.0,0.1,True,5,5,0
llama31_1200_c8_rep1,llama31,llama31_1200,8,1,2026-05-22T16:55:31,2026-05-22T11:55:31.931756,369.2875974178314,369.126,369.69,368.52,0.4,0.541,0.495,0.046,0.022,200,183,17,200,14.5046,14.3171,18.273,20.8764,8.1672,21.7317,200,91.5,8.5,0.0,0.09,True,5,5,0
llama31_1200_c8_rep2,llama31,llama31_1200,8,2,2026-05-22T17:01:46,2026-05-22T12:01:46.407756,370.0333695411682,369.85,370.314,369.285,0.405,0.54,0.491,0.049,0.022,200,182,18,200,14.5277,14.3364,18.3748,21.3609,8.1636,21.6574,200,91.0,9.0,0.0,0.09,True,5,5,0
llama31_1200_c8_rep3,llama31,llama31_1200,8,3,2026-05-22T17:08:00,2026-05-22T12:08:00.361756,369.63302206993103,369.49,370.009,368.872,0.405,0.541,0.492,0.049,0.022,200,182,18,200,14.5125,14.3703,18.4013,21.2774,8.1118,21.5907,200,91.0,9.0,0.0,0.09,True,5,5,0
llama31_1200_c12_rep1,llama31,llama31_1200,12,1,2026-05-22T17:13:02,2026-05-22T12:13:02.730756,298.06529450416565,297.883,298.363,297.309,0.402,0.67,0.62,0.05,0.04,200,185,15,200,17.5247,17.1924,22.5285,25.4392,10.103,27.2401,200,92.5,7.5,0.0,0.07,True,5,5,0
llama31_1200_c12_rep2,llama31,llama31_1200,12,2,2026-05-22T17:18:05,2026-05-22T12:18:05.800756,298.6183578968048,298.415,298.837,297.857,0.402,0.669,0.619,0.05,0.04,200,185,15,200,17.562,17.2262,22.5342,27.0342,10.1491,27.3881,200,92.5,7.5,0.0,0.07,True,5,5,0
llama31_1200_c12_rep3,llama31,llama31_1200,12,3,2026-05-22T17:23:08,2026-05-22T12:23:08.702756,298.5531439781189,298.353,298.789,297.794,0.398,0.669,0.619,0.05,0.04,200,185,15,200,17.5573,17.2286,22.5701,25.6179,10.1282,27.0478,200,92.5,7.5,0.0,0.07,True,5,5,0
llama31_1200_c16_rep1,llama31,llama31_1200,16,1,2026-05-22T17:27:33,2026-05-22T12:27:33.005756,260.0579843521118,259.861,260.305,259.298,0.401,0.768,0.711,0.058,0.061,200,185,15,200,20.2848,19.966,26.0299,30.0229,10.8934,32.7849,200,92.5,7.5,0.0,0.07,True,5,5,0
llama31_1200_c16_rep2,llama31,llama31_1200,16,2,2026-05-22T17:31:57,2026-05-22T12:31:57.794756,260.6175856590271,260.473,261.011,259.864,0.4,0.766,0.709,0.057,0.061,200,185,15,200,20.3314,20.0018,26.3788,30.1288,10.9951,32.7775,200,92.5,7.5,0.0,0.07,True,5,5,0
llama31_1200_c16_rep3,llama31,llama31_1200,16,3,2026-05-22T17:36:23,2026-05-22T12:36:23.464756,260.85730481147766,260.716,261.228,260.153,0.404,0.766,0.704,0.061,0.061,200,184,16,200,20.3556,20.0458,26.4426,30.2115,10.5707,32.9189,200,92.0,8.0,0.0,0.08,True,5,5,0
llama31_1200_c24_rep1,llama31,llama31_1200,24,1,2026-05-22T17:40:14,2026-05-22T12:40:14.945756,227.17085790634155,226.932,227.416,226.334,0.409,0.879,0.8,0.079,0.106,200,182,18,200,26.4005,26.3931,35.2072,39.3923,14.758,40.248,200,91.0,9.0,0.0,0.09,True,5,5,0
llama31_1200_c24_rep2,llama31,llama31_1200,24,2,2026-05-22T17:44:05,2026-05-22T12:44:05.943756,226.87285709381104,226.362,226.904,225.754,0.408,0.881,0.802,0.079,0.106,200,182,18,200,26.349,26.2483,35.1286,38.9477,14.3836,39.8557,200,91.0,9.0,0.0,0.09,True,5,5,0
llama31_1200_c24_rep3,llama31,llama31_1200,24,3,2026-05-22T17:47:57,2026-05-22T12:47:57.029756,226.90464687347412,226.746,227.185,226.15,0.415,0.88,0.806,0.075,0.106,200,183,17,200,26.3982,26.3137,35.1519,39.107,14.3746,40.2311,200,91.5,8.5,0.0,0.09,True,5,5,0
mistral_3000_c1_rep1,mistral,mistral_3000,1,1,2026-05-21T22:08:25,2026-05-21T17:08:25.113155,991.7285404205322,991.579,991.567,990.407,0.673,0.101,0.073,0.028,0.001,100,72,28,100,9.9036,9.6154,12.9715,15.1591,6.7516,20.342,100,72.0,28.0,0.0,0.44,True,5,5,0
mistral_3000_c1_rep2,mistral,mistral_3000,1,2,2026-05-21T22:24:59,2026-05-21T17:24:59.180155,989.7225079536438,989.551,989.538,988.42,0.623,0.101,0.073,0.028,0.001,100,72,28,100,9.8837,9.6218,12.9094,15.2038,6.7875,20.137,100,72.0,28.0,0.0,0.44,True,5,5,0
mistral_3000_c1_rep3,mistral,mistral_3000,1,3,2026-05-21T22:41:33,2026-05-21T17:41:33.457155,990.1344029903412,989.962,989.948,988.84,0.639,0.101,0.073,0.028,0.001,100,72,28,100,9.8879,9.6182,12.9703,15.1917,6.6456,20.3069,100,72.0,28.0,0.0,0.44,True,5,5,0
mistral_3000_c4_rep1,mistral,mistral_3000,4,1,2026-05-21T22:47:46,2026-05-21T17:47:46.561155,368.64818572998047,368.483,368.7,367.682,0.626,0.271,0.195,0.076,0.011,100,72,28,100,14.6518,14.1203,19.4194,23.8709,8.7173,30.1441,100,72.0,28.0,0.0,0.46,True,5,5,0
