experiment,profile,model,chunk_size,concurrency,parse_ok_pct,chunks_per_sec,p50_latency_s,p99_latency_s,quality_overall,quality_accuracy,quality_specificity,quality_completeness,notes
Exp1,llama31_500,Llama 3.1 8B AWQ,500,4,89.51,,,,,,,, 
Exp1,llama31_700,Llama 3.1 8B AWQ,700,4,87.91,,,,,,,, 
Exp1,llama31_900,Llama 3.1 8B AWQ,900,4,89.39,,,,,,,, 
Exp1,llama31_1200,Llama 3.1 8B AWQ,1200,4,92.50,0.338,,,1.70,1.80,1.50,1.80,quality-best; Exp3 reviewed
Exp1,llama31_2000,Llama 3.1 8B AWQ,2000,4,88.44,,,,,,,, 
Exp1,llama31_3000,Llama 3.1 8B AWQ,3000,4,85.00,,,,,,,, 
Exp1,qwen_500,Qwen 2.5 7B AWQ,500,4,62.53,0.706,,,1.58,1.90,1.50,1.35,Exp3 reviewed (not quality-best)
Exp1,qwen_700,Qwen 2.5 7B AWQ,700,4,60.53,,,,,,,, 
Exp1,qwen_900,Qwen 2.5 7B AWQ,900,4,62.68,,,,,,,, 
Exp1,qwen_1200,Qwen 2.5 7B AWQ,1200,4,57.05,,,,,,,, 
Exp1,qwen_2000,Qwen 2.5 7B AWQ,2000,4,63.27,,,1.93,2.00,1.90,1.90,Exp3.5 quality-best
Exp1,qwen_3000,Qwen 2.5 7B AWQ,3000,4,67.67,0.421,,,1.57,1.75,1.70,1.25,parse-OK peak; quality loser
Exp1,mistral_500,Mistral 7B v0.3 AWQ,500,4,56.75,,,,,,,, 
Exp1,mistral_700,Mistral 7B v0.3 AWQ,700,4,55.85,,,,,,,, 
Exp1,mistral_900,Mistral 7B v0.3 AWQ,900,4,60.14,,,,,,,, 
Exp1,mistral_1200,Mistral 7B v0.3 AWQ,1200,4,65.01,,,,,,,, 
Exp1,mistral_2000,Mistral 7B v0.3 AWQ,2000,4,63.04,,,1.97,2.00,1.95,1.95,Exp3.5 quality-best
Exp1,mistral_3000,Mistral 7B v0.3 AWQ,3000,4,72.00,0.212,,,1.53,1.50,1.55,1.55,parse-OK peak; Exp3 reviewed
Exp1b,qwen_4000,Qwen 2.5 7B AWQ,4000,4,62.80,,,1.23,1.25,1.75,0.70,tail-chunk artifact at 4000
Exp1b,qwen_5000,Qwen 2.5 7B AWQ,5000,4,58.70,,,,,,,, 
Exp1b,mistral_4000,Mistral 7B v0.3 AWQ,4000,4,59.80,,,,,,,,tail-chunk artifact
Exp1b,mistral_5000,Mistral 7B v0.3 AWQ,5000,4,72.00,,,1.88,1.90,1.95,1.80,ties mistral_3000 on parse-OK
Exp2,llama31_1200,Llama 3.1 8B AWQ,1200,1,91.00,0.094,,14.1,,,,, 
Exp2,llama31_1200,Llama 3.1 8B AWQ,1200,4,92.00,0.338,,21.3,,,,, 
Exp2,llama31_1200,Llama 3.1 8B AWQ,1200,8,91.50,0.598,,28.7,,,,, 
Exp2,llama31_1200,Llama 3.1 8B AWQ,1200,12,91.00,0.741,,33.4,,,,, 
Exp2,llama31_1200,Llama 3.1 8B AWQ,1200,16,91.50,0.824,,36.8,,,,, 
